FECHA,HORA,CO,NO,NO2,NOX,O3,PM10,PM25
01/01/2022,1,-99,11,55,67,5,83,68
01/01/2022,2,-99,1,26,27,25,82,69
01/01/2022,3,-99,17,44,61,4,125,108
01/01/2022,4,-99,15,42,57,7,121,107
01/01/2022,5,-99,1,26,27,22,66,57
01/01/2022,6,-99,2,28,30,17,55,47
01/01/2022,7,-99,1,17,18,22,40,32
01/01/2022,8,-99,1,17,19,20,33,27
01/01/2022,9,-99,4,20,23,23,46,36
01/01/2022,10,-99,7,33,39,31,76,64
01/01/2022,11,-99,3,32,35,56,99,84
01/01/2022,12,-99,1,24,25,80,96,80
01/01/2022,13,-99,1,19,19,95,86,70
01/01/2022,14,-99,1,21,22,111,93,77
01/01/2022,15,-99,0,19,19,116,79,63
01/01/2022,16,-99,1,14,15,103,59,45
01/01/2022,17,-99,0,11,11,91,44,32
01/01/2022,18,-99,1,11,11,79,31,21
01/01/2022,19,-99,1,22,23,63,56,38
01/01/2022,20,-99,1,20,21,55,48,32
01/01/2022,21,-99,1,22,23,38,39,27
01/01/2022,22,-99,1,19,19,23,28,18
01/01/2022,23,-99,1,16,16,14,21,14
01/01/2022,24,-99,1,8,9,18,10,5
02/01/2022,1,-99,0,7,7,19,12,8
02/01/2022,2,-99,0,6,6,17,7,4
02/01/2022,3,-99,2,17,20,5,12,7
02/01/2022,4,-99,4,18,22,3,10,6
02/01/2022,5,-99,1,6,7,14,4,2
02/01/2022,6,-99,3,11,14,7,-99,-99
02/01/2022,7,-99,22,18,40,1,5,1
02/01/2022,8,-99,10,17,28,3,5,1
02/01/2022,9,-99,19,23,42,7,17,10
02/01/2022,10,-99,12,27,39,18,20,13
02/01/2022,11,-99,6,22,28,32,23,16
02/01/2022,12,-99,4,20,24,41,26,19
02/01/2022,13,-99,2,15,18,45,26,18
02/01/2022,14,-99,1,11,12,49,22,14
02/01/2022,15,-99,1,11,12,62,33,21
02/01/2022,16,-99,1,7,8,59,34,15
02/01/2022,17,-99,1,7,8,50,39,8
02/01/2022,18,-99,1,9,10,35,88,19
02/01/2022,19,-99,1,13,14,23,225,33
02/01/2022,20,-99,1,15,15,19,64,22
02/01/2022,21,-99,1,15,16,17,40,18
