"CO","NO","NO2","NOX","O3","PM10","PM25"
0.34,1,13,14,119,74,46
0.85,28,42,70,10,39,18
0.51,5,32,37,50,60,31
0.34,14,22,36,18,23,15
0.08,1,6,7,80,22,13
0.04,0,8,8,42,21,16
0.38,3,26,29,13,26,21
0.2,1,13,15,9,12,6
0.26,1,14,14,91,40,28
0.1,3,16,18,12,18,11
0.68,41,34,75,5,37,18
0.6,4,26,30,55,43,34
0.64,19,36,54,23,31,16
0.22,1,12,13,48,30,15
0.07,1,6,6,54,19,11
0.09,1,11,12,20,15,7
0.51,1,28,29,22,35,16
0.17,0,10,10,85,28,14
0.28,1,21,22,14,33,15
0.09,1,7,7,36,23,6
0.32,3,18,21,68,45,24
0.47,11,29,41,1,30,21
0.39,12,17,28,7,17,8
0.09,1,10,11,84,40,19
1.03,46,40,86,7,67,48
0.38,10,22,32,20,24,15
0.49,18,38,56,18,39,19
0.21,1,11,12,9,19,13
0.29,1,20,21,81,66,45
0.75,27,32,58,12,49,30
0.28,1,9,9,79,80,31
0.62,22,30,52,13,19,9
0.44,1,25,26,21,36,18
0.15,1,14,14,22,26,18
0.66,32,26,58,5,24,15
0.33,1,15,15,135,58,34
0.12,1,12,13,7,14,8
0.06,1,7,8,15,5,3
0.2,1,12,13,83,50,26
0.12,1,10,10,95,41,21
0.05,0,9,9,24,11,6
0.22,1,18,19,18,42,34
0.46,22,20,42,6,18,10
0.26,1,14,15,61,31,23
0.21,1,8,9,65,76,25
0.26,1,15,16,27,23,13
0.28,1,10,11,86,44,27
0.59,1,31,32,25,34,19
0.38,17,22,39,1,26,14
0.31,1,14,15,26,28,26
0.24,1,10,11,48,33,10
0.16,2,20,23,13,32,20
0.78,2,38,40,10,59,20
0.18,3,13,16,33,28,10
0.57,8,31,38,3,35,30
0.19,1,9,10,20,4,4
0.08,1,7,8,36,35,26
0.66,12,49,61,1,51,15
0.57,34,27,60,1,18,5
0.23,1,15,16,26,37,13
0.27,1,15,16,106,62,34
0.25,9,19,28,24,39,25
0.59,3,30,33,91,62,37
0.27,1,13,14,77,47,30
0.34,0,20,20,54,54,38
0.72,15,41,56,30,53,34
0.31,5,25,30,4,21,14
0.83,55,24,79,1,34,18
0.25,1,10,11,74,44,23
0.65,4,40,44,3,24,11
0.39,8,22,30,26,42,26
0.25,3,20,24,4,19,13
0.49,1,32,33,3,45,16
0.26,1,17,18,24,24,12
0.49,1,26,27,25,43,24
0.27,0,9,9,30,23,14
0.46,1,20,21,7,28,20
0.35,2,28,30,4,16,7
0.13,0,7,7,34,23,10
0.55,12,25,37,22,38,30
0.52,10,24,34,23,34,23
0.19,2,12,14,51,37,24
0.5,6,19,25,7,15,8
0.15,1,15,16,13,14,10
0.38,2,24,26,85,65,46
0.11,2,10,12,41,16,10
0.24,1,11,12,20,24,21
0.08,1,7,8,19,12,7
0.07,1,7,7,85,27,19
0.61,19,24,43,2,17,13
0.16,1,9,10,38,30,23
0.13,0,10,10,96,43,38
0.26,0,10,11,95,50,24
0.28,1,17,18,29,26,13
0.38,1,20,21,52,44,28
0.08,1,10,11,20,18,13
0.03,1,6,7,11,8,7
0.22,1,8,9,58,21,13
0.04,0,4,5,39,15,15
0.19,1,10,10,29,20,9
0.29,1,10,10,72,30,18
0.09,1,10,11,11,30,16
